matrix_subject1v4,length_CC_onset,position_matrix_verb,that_omission,uid_igauche2_2,frequency_CC_subject_head,subject_form_CC_subject1v4,uid_avgStep,frequency_matrix_verb,matrix_subject1v3,matrix_subject1v2,mverb,uid_amp,text,subject_form_CC_subject1v3,length_matrix_verb_to_CC,length_CC_remainder,subject_form_CC_subject1v2,genre,uid_var,uid_iphrase,uid_biggestStep,word_form_similarity,uid_idoc
1,0,5,0,0.0785239487886428,-11.317457876506259,1,-0.0234102044762306,-8.576617852581057,0,0,suggest,-0.0290697924792766," Of interest here, studies suggest that, despite the difficulties in acquiring L2 grammar, adult learners can approximate native-like levels of use and neurocognitive processing [12]–[15].
",0,-14,0,0,0,-0.0069687233530181,-0.081734464260248,-0.0009811222553253,0,-0.090971689671278
1,0,1,0,0.0169697850942611,-7.967553789231654,1,-0.0083067939415866,-8.966082619342782,0,0,Note,-0.0678788423538208," (Note that we do not consider case studies, purely observational data, or research on L2s acquired by children; for a comprehensive review, see [16]).
",0,-5,0,0,1,-0.0027045344014287,-0.0023668740382966,-0.0772228091955185,0,-0.0161920003592968
1,1,13,0,0.1981983296573162,-8.226415423147943,0,-0.0191034196200324,-8.576617852581057,0,0,suggest,-0.0152203030884265," Although attrition may take place within the first few years, some studies suggest that it then appears to level off, with no further losses occurring [17], [18].
",0,-3,0,1,0,-0.0011239710688528,0.0103464087987897,0.0009795352816581,0,0.00622433796525
0,1,15,1,0.0045946538448333,-7.328473829941984,1,0.0010371214399735,-7.405434871078112,1,0,feel,0.0," Get feedback from researchers on possible subjects, based on the knowledge and skills they feel librarians need;
",0,-1,0,0,1,-0.0049748191029923,-0.0344030210320954,0.0,0,-0.0313849486410617
1,10,32,0,-0.0832325220108032,-8.514097495599724,1,0.0102519674428097,-8.544869154266477,0,0,sure,0.0," With these in hand, we will design the curriculum of clinics, based on the method of 'constructive alignment' (Biggs et al., 2011), to make sure that the intended learning objectives and the teaching/learning activities stay aligned.
",0,-3,0,0,1,0.0017727728625868,-0.0454130344366857,0.0,0,-0.0485428981482982
1,1,2,1,0.1967432796955108,-5.497374946153897,0,0.0150995411275296,-7.5679538005758875,0,0,wrote,0.0057847909629344," His mother wrote, ""He has no indisposition that I know of but love, desperate love, the worst of all maladies in my opinion. In short, the boy is distractedly in love with Miss Chaworth."" [6]
",1,-1,0,0,0,0.0047794228731794,0.0170812393323171,-0.0097952708601951,0,0.0768144279718399
1,1,4,1,-0.0704407468438148,-8.544869154266477,0,-0.0266005072404038,-6.654018782394191,0,0,thinking,-0.0600951313972473," You're so stupid thinking I spent the night.
",0,-1,0,0,0,-0.0051818727492672,0.0045533199992143,-0.0667825490236282,0,0.0239085033535957
0,1,1,1,-0.049333244562149,-8.544869154266477,0,0.0148883252094189,-6.654018782394191,1,0,thinks,0.053748071193695," She thinks I spent the night in my jeans —
",0,-1,0,0,1,0.0014390941669718,-0.0431521151214838,0.0470444411039352,0,0.0458850041031837
0,1,28,1,0.0687975734472274,-10.624310695946313,0,0.0011730501511252,-6.1641662820084795,0,0,knew,0.0," If I did spend the night, and I was trying to lie, I would give up, cause then I wouldn't care, cause I knew I deserved it.
",0,-1,0,0,1,0.0006592100388399,0.0084381171744786,0.0,0,-0.0478961840271949
1,0,16,0,-4.023313522338867e-07,-6.08101591367631,1,-0.0045487587070227,-7.328473829941984,0,0,tell,-0.0091421380639076," I don't know why you couldn't wake me up in the morning, to tell me that you were going.
",0,-4,0,0,0,0.0014012367695948,-0.0003883573350806,-0.044451680034399,0,-1.2665987014770508e-07
0,1,1,1,0.118278544396162,-5.862136761148557,0,0.0361191743363936,-6.1641662820084795,0,0,know,0.0740499719977378," I know she's —
",1,-1,0,0,1,0.0035379577423272,0.0508493341150738,0.0686424747109413,0,0.0353538207709789
0,1,1,1,-0.0009628925472497,-9.302554855963994,0,0.0177523553125805,-6.199464064089503,1,0,said,-0.0622497200965881," They said, they already determined it was in like eighteen different states.
",1,-1,0,0,0,-0.0009037681133091,-0.0837371475107613,0.0022572129964828,0,-0.1085679400712251
0,1,7,1,0.267334783449769,-6.419618076555347,0,0.0070331575402962,-6.654018782394191,0,0,think,-0.0198837518692016," You know what I think, I think the first time that it does the card mode, it takes a long time.
",0,-1,0,1,1,0.0014514609501161,0.0638454847410321,0.0026824995875358,0,-0.0975430444641943
1,5,48,0,-9.462237358093262e-07,-5.497374946153897,1,0.0027527084904948,-9.066166077899764,0,0,sure,0.0034583806991577," It was spring, the barren time in March when you can not be sure if it is really warmer, but you are so desperate for change that you tell yourself the mud at the edge of the sidewalk is different from winter mud and you are sure that the smell of wet soil has suddenly a bit of the scent of summer rains, of grass and drowned earthworms.
",0,-3,0,0,1,0.0004499505286305,0.0001247689217226,0.0090491473674774,0,-7.674098014831543e-07
0,1,20,1,-0.3212715983390808,-12.010605057066204,0,-0.0197416542126582,-6.1641662820084795,0,0,knew,-0.3372631669044494," I was wearing a yellow linen dress which my mother had picked out and which I therefore disliked although I knew it flattered me.
",0,-1,0,1,1,-0.0104899207413565,-0.1776289994035054,-0.0490526854991912,0,-0.188737004995346
0,2,20,1,-0.064392477273941,-10.624310695946313,1,-0.0154775201720467,-8.347043410936557,1,0,heard,0.0025586485862731," We scanned the deep blue valley for the first sign of the company, but before we saw them we heard the children shouting: “A yellow man!”
",0,-1,0,0,0,0.0028665715959998,0.1325207464803681,0.0,0,0.1753426603972911
0,2,3,1,0.1419203020632267,-7.4673102747962,1,0.0081067852803417,-6.654018782394191,0,0,thought,-0.0149385258555412," At first I thought the children meant my father, whose golden skin, the color of the night-monkey’s pelt, was a rarity in the islands; but certainly the children of Tyom were familiar with my father, and would never have greeted a council-member with such ill-mannered yells.
",0,-1,0,0,1,0.0022640847282329,0.0583923728926143,-0.0042845830321311,0,-0.1058225855231285
1,2,3,0,0.0452693291008472,-7.5679538005758875,1,-0.0058341166314815,-8.203942567295885,0,0,learned,0.0029587987810373," I have since learned that that doctor wrote a well-received treatise, On the Medicinal Properties of the Juice of the Young Coconut, and died a respected man in his native city of Deinivel; but at the time I felt certain he had returned with his sack of tree-cuttings.
",0,-3,0,0,1,-0.0009762447864817,-0.0569602324228201,0.0080984532833099,1,-0.0486939959228038
0,0,4,0,0.0904401233419776,-10.218845587838148,1,-0.025104009584775,-6.542544915931073,0,0,saw,-0.0159396491944789," As they approached I saw that my father’s face was shining with pride, and his bearing had in it a new hauteur, like that of the old island kings.
",0,-7,0,0,1,-0.0047142439353628,0.0454467228185888,-0.0108751058578491,0,-0.0300535978749394
0,2,9,1,-0.0158280692994594,-10.401167144632103,1,0.0023269386962056,-8.347043410936557,0,0,heard,0.000458369962871," As he dismounted in front of the house I heard my mother whispering: “Protect us, God with the Black-and-White Tail, from that which is not of this earth.”
",0,-1,0,0,1,0.0024280212087642,0.0593603055488261,0.0,0,0.0613824352622032
